Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20,Utility_Score,Privacy_Score_k1,Privacy_Score_k3,Privacy_Score_k5,Privacy_Score_k10,Privacy_Score_k20,Privacy_Score_Avg,Pareto_Member,Chord_Distance,Plateau_Member
35,10,50,0.6623105753848818,29.22955357431917,5745234,5745234,0.047024368372115,0.081613560039504,0.1041379689669733,0.1448621587910953,0.2114272456091431,0.04817006568326793,0.5714902042199035,0.6050451774460495,0.6306693533855683,0.645355232484766,0.6479478611060984,0.6201015657284772,False,-1.0,False
35,10,100,0.6626395146304552,29.244055388135767,5742385,5742385,0.046963587429265,0.0815070741512455,0.104009570936118,0.1447254059071274,0.2112705783398361,0.04845047320896095,0.5715226402216227,0.6051532102261794,0.6307108991597312,0.6452700285291078,0.6477624049101124,0.6200838366093506,False,-1.0,False
35,10,150,0.6626687547047323,29.247121495187123,5741783,5741783,0.0469432578695502,0.0814738209368065,0.1039731038250661,0.144687982809521,0.2112314241064143,0.04850972751829954,0.5717101087113998,0.6053476039621246,0.6308630304848624,0.6453795920009702,0.647831865528011,0.6202264401374735,False,-1.0,False
35,10,200,0.6627065765040602,29.24824215984393,5741563,5741563,0.0469349548197938,0.0814638801315948,0.1039655926443722,0.1446780258267652,0.2112121734099234,0.04853138222880912,0.57173009221037,0.6053421346055639,0.6308248395450675,0.645343059209357,0.6478147555204883,0.6202109762181693,False,-1.0,False
35,10,300,0.6627167172352132,29.248766864177405,5741460,5741460,0.0469291782926294,0.0814588972142974,0.1039557882489819,0.1446693001431691,0.2112013320653631,0.04854152062790902,0.5717793540939697,0.6053586722170883,0.6308607573379394,0.6453613399078513,0.6478295182557481,0.6202379283625193,False,-1.0,False
20,45,100,0.7349165249401096,101.2660622766176,1658311,1658311,0.0255042630724876,0.053451976137166,0.0792167452305387,0.1183463174277924,0.201769149453872,0.5499818939154086,0.6788661670186555,0.6650700869026236,0.6195781400763266,0.6095375240715133,0.5221057235830697,0.6190315283304377,False,-1.0,False
15,45,450,0.7415071000632892,103.29215215068676,1625783,1625783,0.025524931679074,0.0537802400443355,0.0798298419899826,0.119253307483225,0.2034066046944764,0.5567990182129315,0.6642009612752493,0.6481103886468631,0.6015360267603362,0.5909230942544225,0.5021176107086764,0.6013776163291095,False,-1.0,False
20,30,450,0.7224391104874365,81.34317459533217,2064471,2064471,0.0396614919754261,0.0762359945961943,0.1109456127017526,0.15884892546323,0.2449828551720997,0.47530711186225966,0.5310759727597609,0.5153553841672048,0.45887031189179583,0.4490475783151014,0.40216542492422325,0.47130293441161725,False,-1.0,False
20,20,450,0.702999971393766,60.32092675415138,2783953,2783953,0.0542710311560575,0.0975928832131864,0.1302001147289483,0.1813105321821165,0.2627609014951043,0.37075710599789025,0.3929135245901546,0.39194828598801834,0.38729217673640776,0.3874170037861699,0.38410067719402124,0.3887343336589544,False,-1.0,False
5,45,300,0.776643858645917,109.97651882685165,1526968,1526968,0.0292985838603035,0.0600353118074511,0.0877339931157693,0.1295442995531013,0.2182298515751476,0.578537225046947,0.5407124103226237,0.5226956062358437,0.4778823031484898,0.4663910379572313,0.3747947203306335,0.47649521559896435,False,-1.0,False
