Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
50,10,700,7,30,0.3078227838673914,121.29648842316138,214188,1038280,0.018985244827984745,0.03751300227298995,0.05066552375081866,0.0743132873598644,0.112709481064838
50,10,700,7,60,0.3110285640819299,138.89684950270978,214188,906714,0.01854388484130608,0.03648559523730746,0.04936506991179137,0.07298552796140789,0.11113758031749812
50,10,700,20,30,0.35512263318317133,124.51280129713483,174769,1011460,0.019240503826152295,0.037828485555533586,0.05113004963122615,0.0747908963280802,0.1134142724378621
50,10,700,20,60,0.35891956477099707,143.2122625632255,174769,879392,0.018832329609548414,0.03685273461664423,0.049874231287071066,0.07355650267457516,0.1119398402532659
50,50,200,7,30,0.4617400745842045,90.79366994978004,601174,1387098,0.026812092584662366,0.05106344324625946,0.06885526473255675,0.10036060898364788,0.15421909627149633
50,50,200,7,60,0.4666472101054475,100.24445725074543,601174,1256326,0.02746022927170177,0.052074859550785384,0.07025167034670937,0.10274403299780471,0.15828694144672642
50,50,200,20,30,0.47235731353233423,91.79186072445324,581283,1372014,0.026929754361107103,0.05126769843456408,0.06908165660117171,0.1006666112736459,0.1547025030356833
50,50,200,20,60,0.4774466444341786,101.49684242084292,581283,1240824,0.027632444246726368,0.0523265185070566,0.07051765600923257,0.10313146747645113,0.1589129481699258
50,50,450,7,30,0.366611595281106,113.1347837687065,295413,1113183,0.021425947036560925,0.04173168293083886,0.05627825793243339,0.08212306512046987,0.12466863040488402
50,50,450,7,60,0.3704976131812983,128.3071125333529,295413,981549,0.021381510245540466,0.041483410405389845,0.05595645250517295,0.08213548177421606,0.1250666039087198
50,50,450,20,30,0.3981044723706325,115.55353515334687,262466,1089882,0.02156380231988417,0.04203666084952316,0.05669329340240503,0.08267959283665571,0.1254778040191507
50,50,450,20,60,0.40226399123253354,131.51215085607356,262466,957628,0.02155429874648611,0.0418356606114274,0.056427965765412036,0.08275029552185191,0.1260980255381004
50,50,700,7,30,0.3082726659562608,121.35352556196231,213829,1037792,0.018977791310782893,0.03752004255187937,0.05067682155961888,0.07427788998180752,0.11267479417840955
50,50,700,7,60,0.31149762206420495,138.97103163656024,213829,906230,0.018527305430188806,0.03647859814837293,0.0493616410844929,0.07295278240623242,0.1110987276960595
