Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,Total_Segments_Rotation,Rotation_Threshold,Session_Gap,End_Of_Stream,kNN_Accuracy_k1_Segments,kNN_Accuracy_k1_Rotation,kNN_Accuracy_k3_Segments,kNN_Accuracy_k3_Rotation,kNN_Accuracy_k5_Segments,kNN_Accuracy_k5_Rotation,kNN_Accuracy_k10_Segments,kNN_Accuracy_k10_Rotation,kNN_Accuracy_k20_Segments,kNN_Accuracy_k20_Rotation
10,50,450,7,30,0.4758440769982721,149.10178581576406,269352,844656,269352,0.31888958345172475,0.6650435206758728,0.01606689587240249,0.02888986759106666,0.05243695981466631,0.05496320395521964,0.09575202708723157,0.07266508495766323,0.1265741483263536,0.10415009187172056,0.1797202174106745,0.15564206019965524,0.27232394784519887
10,50,450,7,60,0.4926806582005673,177.434614338789,269352,709781,269352,0.37948606682906416,0.6013939510919565,0.019119982078979293,0.030786961048548778,0.0535099052540913,0.05811510874481002,0.09744869167483441,0.07673211878029984,0.12859752294395438,0.11018187300026346,0.18221138138940865,0.16445917825357398,0.27478169829813776
10,50,450,20,30,0.483542659676407,149.93055606812962,262727,839987,262727,0.31277507866193166,0.6705365678278354,0.016688353510232897,0.029032592171069314,0.05332150863824426,0.05522466419123153,0.09752328462624701,0.07301184423092262,0.12877625824525077,0.10453137965230415,0.18300365017679948,0.15626432313833427,0.27737918067042977
10,50,450,20,60,0.5006297886748825,178.63485727902503,262727,705012,262727,0.3726560682655047,0.6074605822312245,0.019883349503270868,0.030938480479764885,0.054402478618489916,0.05839475072764719,0.0992322829400861,0.07710932579870981,0.13083162370064744,0.11059811747885143,0.1854320264000274,0.16512626735431454,0.2796324702067165
10,50,700,7,30,0.42828731041840684,163.6481880931838,180254,769576,180254,0.23422507978419285,0.7470750127342849,0.018699907481522293,0.02593635976173893,0.05224294606499717,0.04988201295258688,0.09489941970774574,0.06590642119816627,0.1255506119142987,0.09501595683857085,0.17884762612757554,0.1419002151834257,0.27213820497742075
10,50,700,7,60,0.444216915948611,198.47372825396624,180254,634541,180254,0.2840699024964502,0.6932507119319319,0.02267938557161791,0.027263801708636636,0.05338023011971995,0.051895779784127426,0.09659147647208939,0.06848730026901335,0.12735362322056654,0.0990668845669547,0.18117767150798317,0.1479573423939509,0.2743905821784815
10,50,700,20,30,0.4418456964169966,164.97514756623778,171487,763386,171487,0.22463995933904998,0.7557539698134365,0.019606070847513576,0.02608247989876681,0.05446476992425082,0.050220989119528,0.0988121548572195,0.06639367240164215,0.1303539043775913,0.0953344703727865,0.1852851819671462,0.14231463506011377,0.2819630642555995
10,50,700,20,60,0.45883113870093434,200.58279354451327,171487,627869,171487,0.27312544495746727,0.7030367799652475,0.02383777507728523,0.027548740262698112,0.055666027162408815,0.05246635842827087,0.10062570340608909,0.06914818218450026,0.13232489926350102,0.09955739174891577,0.18764687702274807,0.1485867274861476,0.2841206622076309
10,100,200,7,30,0.5619422697844237,112.83444818151031,584724,1116146,584724,0.5238777005875576,0.46574552074728576,0.010376778665156709,0.03495331255946803,0.05046312448266191,0.06514111953095741,0.09205539707622741,0.08635966979230315,0.12213112511201867,0.12374545982335644,0.17460716508985435,0.18709111532003878,0.2669515874156012
10,100,200,7,60,0.5764286282068605,127.96411022373955,584724,984180,584724,0.5941230262756813,0.39410880123554637,0.011768172488772379,0.037233026478896133,0.05101723206162224,0.06897823568859356,0.0930524486766406,0.0913410148550062,0.12329748736155861,0.13098721778536446,0.17599414424583223,0.19802779979272084,0.2681367619594886
10,100,200,20,30,0.5643329285273945,113.09759875856383,580905,1113549,580905,0.5216699040634943,0.4676561157165064,0.0106739802199993,0.0349486192345375,0.05068815038603558,0.06514576367990992,0.09237482893072017,0.08640661524548987,0.12266549607939337,0.12378260857851787,0.17537463096375483,0.1871772144737232,0.2679973489641163
10,100,200,20,60,0.5788981368204186,128.32672338162155,580905,981399,580905,0.591915214912589,0.3959735031317538,0.01211128195565718,0.03726618836986791,0.05121663611089593,0.06902697068164936,0.09333023471996282,0.09144598680047565,0.12379304705588694,0.1311046781176667,0.1767208063280571,0.19819258018400263,0.26913522865184497
10,100,450,7,30,0.4758440769982721,149.10178581576406,269352,844656,269352,0.31888958345172475,0.6650435206758728,0.01606689587240249,0.02888986759106666,0.05243695981466631,0.05496320395521964,0.09575202708723157,0.07266508495766323,0.1265741483263536,0.10415009187172056,0.1797202174106745,0.15564206019965524,0.27232394784519887
10,100,450,7,60,0.4926806582005673,177.434614338789,269352,709781,269352,0.37948606682906416,0.6013939510919565,0.019119982078979293,0.030786961048548778,0.0535099052540913,0.05811510874481002,0.09744869167483441,0.07673211878029984,0.12859752294395438,0.11018187300026346,0.18221138138940865,0.16445917825357398,0.27478169829813776
10,100,450,20,30,0.483543949076125,149.9326979969642,262725,839975,262725,0.31277716598708294,0.6705330515789161,0.016689782434001012,0.02903538795797494,0.05333333333333334,0.055229024673353375,0.09753544580835474,0.07301645882317927,0.12878485108002663,0.10453882556028453,0.18301265581882195,0.1562736986219828,0.27738509848701115
10,100,450,20,60,0.5006362236913748,178.63815125978903,262725,704999,262725,0.37266010306397596,0.6074547623471807,0.01988513458884339,0.030941887860833846,0.054414311542487395,0.05840150127872522,0.09924445713198211,0.07711642144173254,0.13084403844323914,0.11060724908829658,0.18544105052811877,0.16514065977398548,0.27964601769911507
10,100,700,7,30,0.42833805134594066,163.65669442365268,180252,769536,180252,0.23423465568862276,0.7470644648203593,0.018700879491017963,0.02593640843313373,0.05224352573064377,0.049882006819693944,0.09489492488294166,0.06590594851962742,0.1255464571821672,0.09501959622421823,0.17884406275658524,0.14190499209913507,0.2721356767192597
10,100,700,7,60,0.4442659047965321,198.479671311633,180252,634522,180252,0.28407525664988764,0.6932446786715039,0.022680064678608464,0.0272630421009831,0.05338082240418969,0.051894181762019286,0.09658700042163194,0.06848147109162488,0.1273439407052349,0.09906827501646909,0.1811741339901915,0.14795704483059688,0.27438253112309435
10,100,700,20,30,0.44192226899206594,164.9768764622507,171486,763378,171486,0.22464100353953087,0.7557527201465067,0.019606276313962414,0.02608013330224345,0.05445342476936893,0.0502228253892567,0.09881856244824651,0.06639567815682401,0.13036632728036107,0.09533677941989421,0.18530375657488074,0.14232398628202542,0.2819763712489649
